Percentage of BAU,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.0,0.0,1000000000000.0,"(13.816510556964273, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 29.068965370321294, 15.014107288081737, 15.849931923611136)","(0.000999998999999363, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 0.000999998999999363)","(1380550957935.5742, 7497997100950.154, 1424171672481.275, 3288695130507.9556, 20306958981532.86, 3748505054758.7056, 2905855543575.868, 1500359732671.5308, 1583932196383.9446)"
0.0526315789473684,117.91768089859733,179.62520360015333,"(9.069002121048214, 3.489988981178892, 3.0921771174958157, 6.398628947732095, 26.705736079720992, 6.783839562234996, 39.449375975648806, 39.40580924795526, 39.443964687947755)","(2.000999998, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 36.10036079071822, 37.013492063492066, 37.00190072474307)","(553.8196044920592, 93.9788944222653, 103.82793960355637, 531.1929222915799, 2189.408619501633, 581.9688213552633, 956.6507921309314, 840.6619404784146, 848.6021809891787)"
0.1052631578947368,235.83536179719465,144.6096575818956,"(8.979532856581425, 3.407455744261493, 3.092177117495816, 31.896653530676033, 31.898068740173265, 31.89803427269068, 58.78992105686555, 58.761759506288314, 58.93189285036)","(2.000999998, 1.0009999989999998, 1.0009999989999998, 26.67279017062206, 7.489419239943992, 26.306853362442787, 55.61656482271584, 56.52434965498139, 56.61188866882864)","(592.2321627814043, 117.01321175342822, 128.1042603372822, 618.6282587945781, 2073.053094720973, 659.2371395828001, 1694.0420799144158, 1610.8158270875429, 1620.6191385123884)"
0.1578947368421052,353.7530426957919,131.42198440618813,"(8.979532368556749, 4.407455743261494, 4.092177116495815, 63.9738617073243, 63.9738617073243, 60.05182554182782, 65.30451255032337, 65.3245391109498, 65.31636930837776)","(2.000999998, 2.000999998, 2.0009999979999993, 59.077304374672266, 41.96496421907151, 54.64612667877117, 62.2753631850788, 63.11231492924088, 63.06211494848271)","(604.982876492983, 134.9408394821364, 139.02744192442324, 860.5958302400941, 2074.062038171689, 870.3159251669003, 2057.1368771911402, 1987.2606933456227, 1991.6165606477202)"
0.2105263157894736,471.6707235943893,117.32481652870774,"(9.979532367556748, 4.407455743261494, 4.052523030010587, 93.51057233111973, 99.61782917811763, 93.51057233111973, 71.92483414787907, 71.90846976702832, 71.9033172725408)","(3.000999997, 2.000999998, 2.000999998, 88.77048084014396, 78.7187739204835, 88.28411688150885, 68.97075902631383, 69.73910906628623, 69.69371411119879)","(626.0972900560749, 156.512739813485, 161.10845631066542, 1309.8997767339847, 2348.7790650463635, 1338.0998686262233, 2492.622889248314, 2432.810718384747, 2436.639827852715)"
0.05263157894736842,117.91768089859731,179.62520360015333,"(9.069002121048214, 3.489988981178892, 3.0921771174958157, 6.398628947732095, 26.705736079720992, 6.783839562234996, 39.447068839720274, 39.43022240977159, 39.42691997349587)","(2.000999998, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 36.098053654789695, 37.03790539724151, 36.98485601029118)","(553.823190644737, 93.9790247745033, 103.828335089564, 531.196801263809, 2189.45375344709, 581.973398415473, 956.748948403832, 841.085939519595, 848.615516729198)"
0.10526315789473684,235.83536179719462,144.6096575818956,"(8.979532368556749, 3.4074557442614934, 3.0921771174958157, 31.89794331259839, 31.89794331259839, 31.89794331259839, 58.83418790505168, 58.77445331406953, 58.864916338507314)","(2.000999998, 1.0009999989999998, 1.0009999989999998, 26.67279017062206, 7.489419239943992, 26.306853362442787, 55.64911846893136, 56.51851866299088, 56.56510870835355)","(592.233242896165, 117.014261671014, 128.104655974195, 618.638779863381, 2073.06400782746, 659.241125565622, 1696.15133548178, 1612.53952553362, 1620.03019891067)"
0.21052631578947367,471.67072359438924,117.32481652870774,"(9.979532367556748, 4.407455743261494, 4.052523030010587, 93.51057233111973, 99.61782917811763, 93.51057233111973, 71.90788783675397, 71.91247301867969, 71.91393545277917)","(3.000999997, 2.000999998, 2.000999998, 88.77048084014396, 78.7187739204835, 88.28411688150885, 68.95381271518873, 69.7431123179376, 69.70433229120688)","(626.106471632649, 156.514300354901, 161.110029483699, 1309.91903826950, 2348.79779246350, 1338.11429938737, 2493.22670345417, 2434.41536117016, 2438.33545056727)"
